【大梁】
9P2,9P2,P2,9F階～8F階,X:SD295AY:SD345,SD295A
7C1,7C1,C1,7F階,X:SD295AY:SD345,SD295A
7C2,7C2,C2,7F階,X:SD295AY:SD345,SD295A
7P1,7P1,P1,7F階,X:SD295AY:SD345,SD295A
7P2,7P2,P2,7F階,X:SD295AY:SD345,SD295A
6C1,6C1,C1,6F階,X:SD295AY:SD345,SD295A
6C2,6C2,C2,6F階,X:SD295AY:SD345,SD295A
6P1,6P1,P1,6F階,X:SD295AY:SD345,SD295A
6P2,6P2,P2,6F階,X:SD295AY:SD345,SD295A
5C1,5C1,C1,5F階,X:SD295AY:SD345,SD295A
5C2,5C2,C2,5F階,X:SD295AY:SD345,SD295A
5P1,5P1,P1,5F階,X:SD295AY:SD345,SD295A
5P2,5P2,P2,5F階,X:SD295AY:SD345,SD295A
4C1,4C1,C1,4F階,X:SD295AY:SD345,SD295A
4C2,4C2,C2,4F階,X:SD295AY:SD345,SD295A
4P1,4P1,P1,4F階,X:SD295AY:SD345,SD295A
4P2,4P2,P2,4F階,X:SD295AY:SD390,SD295A
3C1,3C1,C1,3F階,X:SD295AY:SD345,SD295A
3C2,3C2,C2,3F階,X:SD295AY:SD345,SD295A
3P1,3P1,P1,3F階,X:SD295AY:SD345,SD295A
3P2,3P2,P2,3F階,X:SD295AY:SD390,SD295A
2C1,2C1,C1,2F階,X:SD295AY:SD345,
2C2,2C2,C2,2F階,X:SD295AY:SD345,
2P1,2P1,P1,2F階,X:SD295AY:SD390,
2P2,2P2,P2,2F階,X:SD295AY:SD390,
1C1,1C1,C1,1F階,X:SD295AY:SD390,KH785
1C2,1C2,C2,1F階,X:SD295AY:SD390,KH785
