【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
14G12:全断面,14G12,G12,14層,全断面,,350×600(Fc27),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
13G6:左端,13G6,G6,13層,左端,,600×800(Fc30),5/3-D32,5/1-D32,SD390,SD390,50/48.0,50/48.0,4-D13@125,SD295A
13G6:中央,13G6,G6,13層,中央,,600×800(Fc30),5-D32,5-D32,SD390,SD390,50,50,4-D13@125,SD295A
13G6:右端,13G6,G6,13層,右端,,600×800(Fc30),5/3-D32,5/1-D32,SD390,SD390,50/48.0,50/48.0,4-D13@125,SD295A
13G11:全断面,13G11,G11,13層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
13G12:全断面,13G12,G12,13層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
12G6:左端,12G6,G6,12層,左端,,600×800(Fc30),5/4-D32,5/3-D32,SD390,SD390,50/48.0,50/48.0,3-TA13@150,SPR685
12G6:中央,12G6,G6,12層,中央,,600×800(Fc30),5-D32,5-D32,SD390,SD390,50,50,3-TA13@150,SPR685
12G6:右端,12G6,G6,12層,右端,,600×800(Fc30),5/4-D32,5/3-D32,SD390,SD390,50/48.0,50/48.0,3-TA13@150,SPR685
12G11:全断面,12G11,G11,12層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
12G12:全断面,12G12,G12,12層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
11G6:左端,11G6,G6,11層,左端,,700×800(Fc30),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
11G6:中央,11G6,G6,11層,中央,,700×800(Fc30),6-D35,6-D35,SD390,SD390,50,50,3-TA13@150,SPR685
11G6:右端,11G6,G6,11層,右端,,700×800(Fc30),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
11G11:全断面,11G11,G11,11層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
11G12:全断面,11G12,G12,11層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
10G6:左端,10G6,G6,10層,左端,,700×800(Fc33),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
10G6:中央,10G6,G6,10層,中央,,700×800(Fc33),6-D35,6-D35,SD390,SD390,50,50,3-TA13@150,SPR685
10G6:右端,10G6,G6,10層,右端,,700×800(Fc33),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
10G11:全断面,10G11,G11,10層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
10G12:全断面,10G12,G12,10層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
9G6:左端,9G6,G6,9層,左端,,700×850(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
9G6:中央,9G6,G6,9層,中央,,700×850(Fc33),6-D35,6-D35,SD390,SD390,50,50,3-TA13@150,SPR685
9G6:右端,9G6,G6,9層,右端,,700×850(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
9G11:全断面,9G11,G11,9層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
9G12:全断面,9G12,G12,9層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
8G6:左端,8G6,G6,8層,左端,,700×850(Fc33),6/4-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
8G6:中央,8G6,G6,8層,中央,,700×850(Fc33),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
8G6:右端,8G6,G6,8層,右端,,700×850(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
8G11:全断面,8G11,G11,8層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
8G12:全断面,8G12,G12,8層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
7G6:左端,7G6,G6,7層,左端,,700×850(Fc33),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
7G6:中央,7G6,G6,7層,中央,,700×850(Fc33),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
7G6:右端,7G6,G6,7層,右端,,700×850(Fc33),6/3-D35,6/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
7G11:全断面,7G11,G11,7層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
7G12:全断面,7G12,G12,7層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
6G6:左端,6G6,G6,6層,左端,,700×850(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
6G6:中央,6G6,G6,6層,中央,,700×850(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
6G6:右端,6G6,G6,6層,右端,,700×850(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
6G11:全断面,6G11,G11,6層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
6G12:全断面,6G12,G12,6層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
3G6:左端,5G6,G6,5層～3層,左端,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
4G6:左端,5G6,G6,5層～3層,左端,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
5G6:左端,5G6,G6,5層～3層,左端,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
3G6:中央,5G6,G6,5層～3層,中央,,700×900(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
4G6:中央,5G6,G6,5層～3層,中央,,700×900(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
5G6:中央,5G6,G6,5層～3層,中央,,700×900(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
3G6:右端,5G6,G6,5層～3層,右端,,700×900(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
4G6:右端,5G6,G6,5層～3層,右端,,700×900(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
5G6:右端,5G6,G6,5層～3層,右端,,700×900(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
3G11:全断面,5G11,G11,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
4G11:全断面,5G11,G11,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
5G11:全断面,5G11,G11,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
3G12:全断面,5G12,G12,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
4G12:全断面,5G12,G12,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
5G12:全断面,5G12,G12,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
2G6:左端,2G6,G6,2層,左端,,700×900(Fc36),6/5-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
2G6:中央,2G6,G6,2層,中央,,700×900(Fc36),6-D35,6-D35,SD390,SD390,50,50,4-TA13@150,SPR685
2G6:右端,2G6,G6,2層,右端,,700×900(Fc36),6/4-D35,6/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
2G11:全断面,2G11,G11,2層,全断面,,350×700(Fc36),3-D22,3-D22,SD345,SD345,50,50,2-D10@200,SD295A
2G12:全断面,2G12,G12,2層,全断面,,600×900(Fc36),5/5-D35,5/5-D35,SD390,SD390,50/52.5,50/52.5,4-D13@150,SD295A
RG13:全断面,RG13,G13,R層,全断面,,350×680(Fc24),3/1-D19,3-D19,SD345,SD345,50/28.5,50,2-D10@200,SD295A
RG14:全断面,RG14,G14,R層,全断面,,350×680(Fc24),3/1-D19,3-D19,SD345,SD345,50/28.5,50,2-D10@200,SD295A
15G13:全断面,15G13,G13,15層,全断面,,350×600(Fc27),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
15G14:全断面,15G14,G14,15層,全断面,,350×600(Fc27),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
14G13:全断面,14G13,G13,14層,全断面,,350×600(Fc27),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
14G14:全断面,14G14,G14,14層,全断面,,350×600(Fc27),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
13G13:全断面,13G13,G13,13層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
13G14:全断面,13G14,G14,13層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
12G13:全断面,12G13,G13,12層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
12G14:全断面,12G14,G14,12層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
11G13:全断面,11G13,G13,11層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
11G14:全断面,11G14,G14,11層,全断面,,350×600(Fc30),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
10G13:全断面,10G13,G13,10層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
10G14:全断面,10G14,G14,10層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
9G13:全断面,9G13,G13,9層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
9G14:全断面,9G14,G14,9層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
8G13:全断面,8G13,G13,8層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
8G14:全断面,8G14,G14,8層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
7G13:全断面,7G13,G13,7層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
7G14:全断面,7G14,G14,7層,全断面,,350×600(Fc33),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
6G13:全断面,6G13,G13,6層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
6G14:全断面,6G14,G14,6層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
3G13:全断面,5G13,G13,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
4G13:全断面,5G13,G13,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
5G13:全断面,5G13,G13,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
3G14:全断面,5G14,G14,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
4G14:全断面,5G14,G14,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
5G14:全断面,5G14,G14,5層～3層,全断面,,350×600(Fc36),3-D19,3-D19,SD345,SD345,50,50,2-D10@200,SD295A
2G13:全断面,2G13,G13,2層,全断面,,450×700(Fc36),4-D22,4-D22,SD345,SD345,50,50,2-D13@200,SD295A
2G14:全断面,2G14,G14,2層,全断面,,550×900(Fc36),5/1-D22,5-D22,SD345,SD345,50/33.0,50,2-D13@200,SD295A
【基礎大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,ｺﾝｸﾘｰﾄ:荷重剛性用,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
FG1:全断面,FG1,G1,1層,全断面,,1350×2000(Fc33),1350×2700,11/9-D35,8/8/4-D35,SD390,SD390,50/52.5,50/52.5/52.5,4-TA13@150,SPR685
FG2:全断面,FG2,G2,1層,全断面,,850×2000(Fc33),850×2700,7/2-D35,4/4-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
FG3:全断面,FG3,G3,1層,全断面,,1350×2000(Fc33),1350×2700,11/9-D35,8/8/4-D35,SD390,SD390,50/52.5,50/52.5/52.5,5-TA13@150,SPR685
FG4:全断面,FG4,G4,1層,全断面,,1050×2500(Fc33),1050×2700,8/8-D35,6/6/3-D35,SD390,SD390,50/52.5,50/52.5/52.5,3-TA13@150,SPR685
FG5:全断面,FG5,G5,1層,全断面,,650×2500(Fc33),650×2700,5/3-D35,3/3-D35,SD390,SD390,50/52.5,50/52.5,2-TA13@150,SPR685
FG6:全断面,FG6,G6,1層,全断面,,1200×3500(Fc33),1200×3700,9/9/9-D35,6/6/3-D35,SD390,SD390,50/52.5/52.5,50/52.5/52.5,3-TA13@150,SPR685
FG11:全断面,FG11,G11,1層,全断面,,550×2000(Fc33),550×2700,3/2-D32,3/2-D32,SD390,SD390,95/48.0,95/48.0,2-D13@200,SD295A
FG12:全断面,FG12,G12,1層,全断面,,1200×2100(Fc33),1200×2700,9/9/1-D32,7/7/3-D32,SD390,SD390,95/48.0/48.0,95/48.0/48.0,3-TA13@150,SPR685
FG13:全断面,FG13,G13,1層,全断面,,600×2500(Fc33),600×2700,3/3-D32,3/3-D32,SD390,SD390,95/48.0,95/48.0,2-D13@200,SD295A
FG14:全断面,FG14,G14,1層,全断面,,550×2500(Fc33),550×2700,3/3/2-D32,3/3-D32,SD390,SD390,95/48.0/48.0,95/48.0,2-D13@200,SD295A
【柱】
符号名：断面,符号名,共通符号名,階数,断面,ｺﾝｸﾘｰﾄ:Dx×Dy,主筋:X,主筋:Y,主筋:材料,かぶりmm,帯筋:X,帯筋:Y,帯筋:材料
15C1,15C1,C1,15階,,600×1000(Fc24),5-D22,4-D22,SD345,50,2-D13@100,2-D13@100,SD295A
15C2,15C2,C2,15階,,600×1000(Fc24),5-D22,4-D22,SD345,50,2-D13@100,2-D13@100,SD295A
15C3,15C3,C3,15階,,600×1000(Fc24),5-D22,4-D22,SD345,50,2-D13@100,2-D13@100,SD295A
15C4,15C4,C4,15階,,600×1000(Fc24),5-D22,4-D22,SD345,50,2-D13@100,2-D13@100,SD295A
15C5,15C5,C5,15階,,600×1000(Fc24),5-D22,4-D22,SD345,50,2-D13@100,2-D13@100,SD295A
14C1,14C1,C1,14階,,600×1000(Fc27),"2-D25,3-D22",4-D25,SD345,50,2-D13@100,2-D13@100,SD295A
14C2,14C2,C2,14階,,600×1000(Fc27),"2-D25,3-D22",4-D25,SD345,50,2-D13@100,4-D13@100,SD295A
14C3,14C3,C3,14階,,600×1000(Fc27),"2-D25,3-D22",4-D25,SD345,50,2-D13@100,4-D13@100,SD295A
14C4,14C4,C4,14階,,600×1000(Fc27),"2-D25,3-D22",4-D25,SD345,50,2-D13@100,2-D13@100,SD295A
14C5,14C5,C5,14階,,600×1000(Fc27),"2-D25,3-D22",4-D25,SD345,50,2-D13@100,2-D13@100,SD295A
13C1,13C1,C1,13階,,700×1000(Fc27),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
13C2,13C2,C2,13階,,700×1000(Fc27),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
13C3,13C3,C3,13階,,700×1000(Fc27),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
13C4,13C4,C4,13階,,700×1000(Fc27),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
13C5,13C5,C5,13階,,700×1000(Fc27),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
12C1,12C1,C1,12階,,700×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
12C2,12C2,C2,12階,,700×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
12C3,12C3,C3,12階,,700×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
12C4,12C4,C4,12階,,700×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
12C5,12C5,C5,12階,,700×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
11C1,11C1,C1,11階,,800×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
11C2,11C2,C2,11階,,800×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
11C3,11C3,C3,11階,,800×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
11C4,11C4,C4,11階,,800×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
11C5,11C5,C5,11階,,800×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
10C1,10C1,C1,10階,,800×1100(Fc30),"2-D32,3-D22",4-D32,X:SD345Y:SD390,50,2-D13@100,3-D13@100,SD295A
10C2,10C2,C2,10階,,800×1100(Fc30),"2-D32,3-D22",4-D32,X:SD345Y:SD390,50,2-TA13@100,3-TA13@100,SPR685
10C3,10C3,C3,10階,,800×1100(Fc30),"2-D32,3-D22",4-D32,X:SD345Y:SD390,50,2-TA13@100,3-TA13@100,SPR685
10C4,10C4,C4,10階,,800×1100(Fc30),"2-D32,3-D22",4-D32,X:SD345Y:SD390,50,2-D13@100,3-D13@100,SD295A
10C5,10C5,C5,10階,,800×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,3-D13@100,SD295A
9C1,9C1,C1,9階,,800×1100(Fc33),"2-D32,3-D25",4-D32,X:SD345Y:SD390,50,2-D13@100,3-D13@100,SD295A
9C2,9C2,C2,9階,,800×1200(Fc33),"2-D32,3-D25",5-D32,X:SD345Y:SD390,50,2-TA13@100,3-TA13@100,SPR685
9C3,9C3,C3,9階,,800×1200(Fc33),"2-D32,3-D25",5-D32,X:SD345Y:SD390,50,2-TA13@100,3-TA13@100,SPR685
9C4,9C4,C4,9階,,800×1100(Fc33),"2-D32,3-D25",5-D32,X:SD345Y:SD390,50,2-D13@100,3-D13@100,SD295A
9C5,9C5,C5,9階,,800×1100(Fc33),"2-D32,3-D25",5-D32,X:SD345Y:SD390,50,2-D13@100,3-D13@100,SD295A
8C1,8C1,C1,8階,,900×1100(Fc33),"2-D32,3-D29",5-D32,SD390,50,2-D13@100,3-D13@100,SD295A
8C2,8C2,C2,8階,,900×1200(Fc33),"2-D32,3-D29",5-D32,SD390,50,2-TA13@100,3-TA13@100,SPR685
8C3,8C3,C3,8階,,900×1200(Fc33),"2-D32,3-D29",5-D32,SD390,50,2-TA13@100,3-TA13@100,SPR685
8C4,8C4,C4,8階,,900×1100(Fc33),"2-D32,3-D29",5-D32,SD390,50,2-D13@100,3-D13@100,SD295A
8C5,8C5,C5,8階,,800×1100(Fc33),"2-D32,3-D29",5-D32,SD390,50,2-D13@100,3-D13@100,SD295A
7C1,7C1,C1,7階,,900×1100(Fc33),5-D32,5-D32,SD390,50,2-TA13@100,2-TA13@100,SPR685
7C2,7C2,C2,7階,,900×1200(Fc33),5-D32,5-D32,SD390,50,2-TA13@100,3-TA13@100,SPR685
7C3,7C3,C3,7階,,900×1200(Fc33),5-D32,5-D32,SD390,50,2-TA13@100,3-TA13@100,SPR685
7C4,7C4,C4,7階,,900×1100(Fc33),5-D32,5-D32,SD390,50,2-TA13@100,2-TA13@100,SPR685
7C5,7C5,C5,7階,,800×1100(Fc33),5-D32,5-D32,SD390,50,2-TA13@100,2-TA13@100,SPR685
6C1,6C1,C1,6階,,900×1100(Fc33),5-D32,5-D32,SD390,50,2-TA13@100,2-TA13@100,SPR685
6C2,6C2,C2,6階,,1000×1200(Fc33),7-D32,7-D32,SD390,50,2-TA13@100,3-TA13@100,SPR685
6C3,6C3,C3,6階,,1000×1200(Fc33),7-D32,7-D32,SD390,50,2-TA13@100,3-TA13@100,SPR685
6C4,6C4,C4,6階,,900×1100(Fc33),5-D32,5-D32,SD390,50,2-TA13@100,2-TA13@100,SPR685
6C5,6C5,C5,6階,,800×1100(Fc33),5-D32,5-D32,SD390,50,2-TA13@100,2-TA13@100,SPR685
5C1,5C1,C1,5階,,900×1100(Fc36),5-D35,5-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
5C2,5C2,C2,5階,,1000×1200(Fc36),7-D35,7-D35,SD390,50,2-TA13@100,3-TA13@100,SPR685
5C3,5C3,C3,5階,,1000×1200(Fc36),7-D35,7-D35,SD390,50,2-TA13@100,3-TA13@100,SPR685
5C4,5C4,C4,5階,,900×1100(Fc36),5-D35,5-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
5C5,5C5,C5,5階,,800×1100(Fc36),5-D35,5-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
4C1,4C1,C1,4階,,900×1100(Fc36),5-D35,5-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
4C2,4C2,C2,4階,,1000×1200(Fc36),7-D35,7-D35,SD390,50,2-TA13@100,4-TA13@100,SPR685
4C3,4C3,C3,4階,,1000×1200(Fc36),7-D35,7-D35,SD390,50,2-TA13@100,4-TA13@100,SPR685
4C4,4C4,C4,4階,,900×1100(Fc36),5-D35,7-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
4C5,4C5,C5,4階,,800×1100(Fc36),5-D35,5-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
3C1,3C1,C1,3階,,900×1100(Fc36),5-D35,7-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
3C2,3C2,C2,3階,,1000×1200(Fc36),9-D35,7-D35,SD390,50,2-TA13@100,4-TA13@100,SPR685
3C3,3C3,C3,3階,,1000×1200(Fc36),9-D35,7-D35,SD390,50,2-TA13@100,4-TA13@100,SPR685
3C4,3C4,C4,3階,,900×1100(Fc36),7-D35,7-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
3C5,3C5,C5,3階,,900×1100(Fc36),5-D35,7-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
2C1,2C1,C1,2階,,900×1100(Fc36),5-D35,7-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
2C2,2C2,C2,2階,,1000×1200(Fc36),9-D35,7-D35,SD390,50,2-TA13@100,4-TA13@100,SPR685
2C3,2C3,C3,2階,,1000×1200(Fc36),9-D35,7-D35,SD390,50,2-TA13@100,4-TA13@100,SPR685
2C4,2C4,C4,2階,,900×1100(Fc36),7-D35,7-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
2C5,2C5,C5,2階,,900×1100(Fc36),5-D35,7-D35,SD390,50,2-TA13@100,2-TA13@100,SPR685
1C1,1C1,C1,1階,,900×1200(Fc36),7-D35,7/2-D35,SD390,50,4-TA13@100,4-TA13@100,SPR685
1C2,1C2,C2,1階,,1400×1200(Fc36),10-D35,12-D35,SD390,50,10-TA13@100,4-TA13@100,SPR685
1C3,1C3,C3,1階,,1000×1200(Fc36),9-D35,7-D35,SD390,50,4-TA13@100,4-TA13@100,SPR685
1C4,1C4,C4,1階,,900×1200(Fc36),7-D35,7-D35,SD390,50,4-TA13@100,4-TA13@100,SPR685
1C5,1C5,C5,1階,,900×1200(Fc36),7-D35,7-D35,SD390,50,2-TA13@100,4-TA13@100,SPR685
15C6,15C6,C6,15階,,600×1000(Fc24),5-D22,4-D22,SD345,50,2-D13@100,2-D13@100,SD295A
15C7,15C7,C7,15階,,600×1000(Fc24),5-D22,4-D22,SD345,50,2-D13@100,2-D13@100,SD295A
15C8,15C8,C8,15階,,600×1000(Fc24),5-D22,4-D22,SD345,50,2-D13@100,2-D13@100,SD295A
14C6,14C6,C6,14階,,600×1000(Fc27),"2-D25,3-D22",4-D25,SD345,50,2-D13@100,4-D13@100,SD295A
14C7,14C7,C7,14階,,600×1000(Fc27),"2-D25,3-D22",4-D25,SD345,50,2-D13@100,4-D13@100,SD295A
14C8,14C8,C8,14階,,600×1000(Fc27),"2-D25,3-D22",4-D25,SD345,50,2-D13@100,2-D13@100,SD295A
13C6,13C6,C6,13階,,700×1000(Fc27),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
13C7,13C7,C7,13階,,700×1000(Fc27),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
13C8,13C8,C8,13階,,600×1000(Fc27),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
12C6,12C6,C6,12階,,700×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
12C7,12C7,C7,12階,,700×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
12C8,12C8,C8,12階,,600×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
11C6,11C6,C6,11階,,800×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
11C7,11C7,C7,11階,,800×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-TA13@100,2-TA13@100,SPR685
11C8,11C8,C8,11階,,700×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,2-D13@100,SD295A
10C6,10C6,C6,10階,,800×1100(Fc30),"2-D32,3-D22",4-D32,X:SD345Y:SD390,50,2-TA13@100,3-TA13@100,SPR685
10C7,10C7,C7,10階,,800×1100(Fc30),"2-D32,3-D22",4-D32,X:SD345Y:SD390,50,2-TA13@100,3-TA13@100,SPR685
10C8,10C8,C8,10階,,700×1100(Fc30),"2-D29,3-D22",4-D29,X:SD345Y:SD390,50,2-D13@100,3-D13@100,SD295A
