【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
6G1:右端,6G1,G1,6層,右端,,800×800(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
6G2:全断面,6G2,G2,6層,全断面,,800×800(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
3G1:左端,5G1,G1,5層～3層,左端,,800×850(Fc36),7/4-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
4G1:左端,5G1,G1,5層～3層,左端,,800×850(Fc36),7/4-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
5G1:左端,5G1,G1,5層～3層,左端,,800×850(Fc36),7/4-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
3G1:中央,5G1,G1,5層～3層,中央,,800×850(Fc36),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
4G1:中央,5G1,G1,5層～3層,中央,,800×850(Fc36),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
5G1:中央,5G1,G1,5層～3層,中央,,800×850(Fc36),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
3G1:右端,5G1,G1,5層～3層,右端,,800×850(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
4G1:右端,5G1,G1,5層～3層,右端,,800×850(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
5G1:右端,5G1,G1,5層～3層,右端,,800×850(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
3G2:全断面,5G2,G2,5層～3層,全断面,,800×850(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
4G2:全断面,5G2,G2,5層～3層,全断面,,800×850(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
5G2:全断面,5G2,G2,5層～3層,全断面,,800×850(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
2G1:左端,2G1,G1,2層,左端,,800×900(Fc36),7/3-D35,7/3-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
2G1:中央,2G1,G1,2層,中央,,800×900(Fc36),7-D35,7-D35,SD390,SD390,50,50,4-TA13@150,SPR685
2G1:右端,2G1,G1,2層,右端,,800×900(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@150,SPR685
2G2:全断面,2G2,G2,2層,全断面,,800×900(Fc36),7/5-D35,7/4-D35,SD390,SD390,50/52.5,50/52.5,4-TA13@100,SPR685
RG3:左端,RG3,G3,R層,左端,,500×750(Fc24),4/1-D25,4-D25,SD345,SD345,50/37.5,50,2-D13@200,SD295A
RG3:中央,RG3,G3,R層,中央,,500×750(Fc24),4-D25,4-D25,SD345,SD345,50,50,2-D13@200,SD295A
RG3:右端,RG3,G3,R層,右端,,500×750(Fc24),4/1-D25,4-D25,SD345,SD345,50/37.5,50,2-D13@200,SD295A
15G3:左端,15G3,G3,15層,左端,,500×750(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-D13@150,SD295A
15G3:中央,15G3,G3,15層,中央,,500×750(Fc27),4-D29,4-D29,SD390,SD390,50,50,3-D13@150,SD295A
15G3:右端,15G3,G3,15層,右端,,500×750(Fc27),4/2-D29,4-D29,SD390,SD390,50/43.5,50,3-D13@150,SD295A
14G3:左端,14G3,G3,14層,左端,,500×750(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-D13@150,SD295A
14G3:中央,14G3,G3,14層,中央,,500×750(Fc27),4-D32,4-D32,SD390,SD390,50,50,4-D13@150,SD295A
14G3:右端,14G3,G3,14層,右端,,500×750(Fc27),4/2-D32,4-D32,SD390,SD390,50/48.0,50,4-D13@150,SD295A
13G3:左端,13G3,G3,13層,左端,,600×750(Fc30),5/3-D32,5/1-D32,SD390,SD390,50/48.0,50/48.0,4-D13@125,SD295A
13G3:中央,13G3,G3,13層,中央,,600×750(Fc30),5-D32,5-D32,SD390,SD390,50,50,4-D13@125,SD295A
13G3:右端,13G3,G3,13層,右端,,600×750(Fc30),5/3-D32,5/1-D32,SD390,SD390,50/48.0,50/48.0,4-D13@125,SD295A
12G3:左端,12G3,G3,12層,左端,,600×750(Fc30),5/4-D32,5/3-D32,SD390,SD390,50/48.0,50/48.0,3-TA13@150,SPR685
12G3:中央,12G3,G3,12層,中央,,600×750(Fc30),5-D32,5-D32,SD390,SD390,50,50,3-TA13@150,SPR685
12G3:右端,12G3,G3,12層,右端,,600×750(Fc30),5/4-D32,5/3-D32,SD390,SD390,50/48.0,50/48.0,3-TA13@150,SPR685
11G3:左端,11G3,G3,11層,左端,,700×750(Fc30),6/2-D35,6/2-D35,SD390,SD390,50/52.5,50/52.5,3-TA13@150,SPR685
