【大梁】
符号名：断面,符号名,共通符号名,階数,断面位置,断面,ｺﾝｸﾘｰﾄ:ｂ×Ｄ,ｺﾝｸﾘｰﾄ:荷重剛性用,主筋:上端,主筋:下端,主筋:材料:上端,主筋:材料:下端,かぶり・あき:上端mm,かぶり・あき:下端mm,あばら筋:　,あばら筋:材料
RG3:中央,RG3,G3,RFL層,中央,,450×750(Fc24),450×850,4-D25,4-D25,SD345,SD345,50,60,2-D13@200,SD295A
10G2:左端,10G2,G2,10FL層,左端,,450×800(Fc24),,4/3-D25,4/1-D25,SD345,SD345,50/37.5,60/37.5,3-D13@150,SD295A
10G2:中央,10G2,G2,10FL層,中央,,450×800(Fc24),,4-D25,4-D25,SD345,SD345,50,60,3-D13@150,SD295A
10G2:右端,10G2,G2,10FL層,右端,,450×800(Fc24),,4/3-D25,4/1-D25,SD345,SD345,50/37.5,60/37.5,3-D13@150,SD295A
10G3:端部,10G3,G3,10FL層,端部,,450×800(Fc24),,4/2-D25,4-D25,SD345,SD345,50/37.5,60,3-D13@150,SD295A
10G3:中央,10G3,G3,10FL層,中央,,450×800(Fc24),,4-D25,4-D25,SD345,SD345,50,60,3-D13@150,SD295A
9G2:左端,9G2,G2,9FL層,左端,,450×800(Fc27),,4/3-D29,4/2-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
9G2:中央,9G2,G2,9FL層,中央,,450×800(Fc27),,4-D29,4-D29,SD390,SD390,50,60,2-TA13@150,SPR685
9G2:右端,9G2,G2,9FL層,右端,,450×800(Fc27),,4/3-D29,4/1-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
9G3:端部,9G3,G3,9FL層,端部,,450×800(Fc27),,4/2-D29,4/1-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
9G3:中央,9G3,G3,9FL層,中央,,450×800(Fc27),,4-D29,4-D29,SD390,SD390,50,60,2-TA13@150,SPR685
8G2:左端,8G2,G2,8FL層,左端,,550×800(Fc27),,5/3-D29,5/2-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
8G2:中央,8G2,G2,8FL層,中央,,550×800(Fc27),,5-D29,5-D29,SD390,SD390,50,60,2-TA13@150,SPR685
8G2:右端,8G2,G2,8FL層,右端,,550×800(Fc27),,5/3-D29,5/1-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
8G3:端部,8G3,G3,8FL層,端部,,550×800(Fc27),,5/2-D29,5/1-D29,SD390,SD390,50/43.5,60/43.5,2-TA13@150,SPR685
8G3:中央,8G3,G3,8FL層,中央,,550×800(Fc27),,5-D29,5-D29,SD390,SD390,50,60,2-TA13@150,SPR685
7G2:左端,7G2,G2,7FL層,左端,,550×800(Fc30),,5/4-D32,5/3-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
7G2:中央,7G2,G2,7FL層,中央,,550×800(Fc30),,5-D32,5-D32,SD390,SD390,50,60,3-TA13@150,SPR685
7G2:右端,7G2,G2,7FL層,右端,,550×800(Fc30),,5/3-D32,5/2-D32,SD390,SD390,50/48.0,60/48.0,3-TA13@150,SPR685
